,Subject ID,Trial Number,Indicator,Start Time,End Time,Response
0,2,1,1,88183,88403,S201
1,2,2,0,,,S202
2,2,3,1,117169,117389,S201
3,2,4,1,132376,132596,S101
4,2,5,1,144778,144998,S101
5,2,6,0,,,S102
6,2,7,1,174552,174772,S101
7,2,8,1,192728,192948,S101
8,2,9,1,207837,208057,S101
9,2,10,0,,,S102
10,2,11,0,,,S102
11,2,12,1,253063,253283,S101
12,2,13,0,,,S102
13,2,14,1,286479,286699,S201
14,2,15,1,299996,300216,S201
15,2,16,1,314875,315095,S201
16,2,17,1,328146,328366,S101
17,2,18,0,,,S102
18,2,19,0,,,S102
19,2,20,0,,,S102
20,2,21,0,,,S102
21,2,22,0,,,S102
22,2,23,1,423128,423348,S101
23,2,24,0,,,S202
24,2,25,1,457380,457600,S101
25,2,26,0,,,S102
26,2,27,0,,,S102
27,2,28,1,510006,510226,S101
28,2,29,1,528575,528795,S101
29,2,30,0,,,S102
30,2,31,1,561926,562146,S101
31,2,32,1,589331,589551,S201
32,2,33,0,,,S102
33,2,34,1,612527,612747,S101
34,2,35,1,625405,625625,S101
35,2,36,1,643712,643932,S101
36,2,37,1,658689,658909,S101
37,2,38,1,675536,675756,S201
38,2,39,0,,,S102
39,2,40,1,707492,707712,S101
40,2,41,1,724192,724412,S201
41,2,42,0,,,S102
42,2,43,0,,,S102
43,2,44,0,,,S102
44,2,45,1,784675,784895,S101
45,2,46,0,,,S102
46,2,47,1,814301,814521,S101
47,2,48,1,828934,829154,S101
48,2,49,1,845699,845919,S101
49,2,50,1,859872,860092,S201
50,2,51,1,875867,876087,S101
51,2,52,1,889581,889801,S101
52,2,53,1,901605,901825,S101
53,2,54,1,915795,916015,S101
54,2,55,0,,,S102
55,2,56,0,,,S102
56,2,57,1,963056,963276,S201
57,2,58,0,,,S102
58,2,59,0,,,S102
59,2,60,0,,,S102
60,2,61,1,1018864,1019084,S201
61,2,62,1,1031807,1032027,S101
62,2,63,1,1053423,1053643,S101
63,2,64,0,,,S102
64,2,65,0,,,S102
65,2,66,0,,,S102
66,2,67,1,1116678,1116898,S101
67,2,68,0,,,S102
68,2,69,0,,,S102
69,2,70,1,1167401,1167621,S101
70,2,71,1,1181492,1181712,S101
71,2,72,1,1196716,1196936,S101
72,2,73,1,1214892,1215112,S101
73,2,74,1,1230098,1230318,S101
74,2,75,0,,,S102
75,2,76,1,1262907,1263127,S201
76,2,77,1,1279951,1280171,S201
77,2,78,0,,,S102
78,2,79,1,1314729,1314949,S101
79,2,80,0,,,S102
80,2,81,0,,,S102
81,2,82,1,1359693,1359913,S101
82,2,83,1,1377902,1378122,S101
83,2,84,0,,,S102
84,2,85,1,1406528,1406748,S101
85,2,86,0,,,S102
86,2,87,1,1442437,1442657,S101
87,2,88,0,,,S202
88,2,89,1,1468553,1468773,S101
89,2,90,0,,,S102
90,2,91,1,1499820,1500040,S101
91,2,92,1,1510187,1510407,S201
92,3,1,1,62260,62480,S201
93,3,2,1,75794,76014,S101
94,3,3,1,93954,94174,S101
95,3,4,0,,,S102
96,3,5,0,,,S202
97,3,6,1,119479,119699,S201
98,3,7,1,130569,130789,S201
99,3,8,0,,,S102
100,3,9,1,161426,161646,S101
101,3,10,1,178273,178493,S101
102,3,11,0,,,S102
103,3,12,1,209015,209235,S101
104,3,13,0,,,S102
105,3,14,0,,,S102
106,3,15,1,253373,253593,S101
107,3,16,0,,,S102
108,3,17,1,284066,284286,S101
109,3,18,1,299241,299461,S101
110,3,19,1,315038,315258,S101
111,3,20,0,,,S102
112,3,21,1,345092,345312,S101
113,3,22,0,,,S102
114,3,23,1,377228,377448,S101
115,3,24,0,,,S102
116,3,25,1,413482,413702,S101
117,3,26,1,425769,425989,S101
118,3,27,1,437909,438129,S101
119,3,28,1,452066,452286,S101
120,3,29,0,,,S102
121,3,30,0,,,S102
122,3,31,0,,,S202
123,3,32,1,515847,516067,S101
124,3,33,1,540050,540270,S201
125,3,34,1,553206,553426,S101
126,3,35,0,,,S102
127,3,36,0,,,S102
128,3,37,0,,,S202
129,3,38,1,598959,599179,S201
130,3,39,0,,,S102
131,3,40,1,627256,627476,S201
132,3,41,0,,,S102
133,3,42,1,658294,658514,S101
134,3,43,1,670761,670981,S101
135,3,44,0,,,S102
136,3,45,0,,,S202
137,3,46,0,,,S102
138,3,47,0,,,S102
139,3,48,0,,,S102
140,3,49,0,,,S102
141,3,50,1,774898,775118,S101
142,3,51,0,,,S102
143,3,52,1,803475,803695,S101
144,3,53,0,,,S202
145,3,54,1,837498,837718,S201
146,3,55,0,,,S102
147,3,56,0,,,S102
148,3,57,0,,,S102
149,3,58,1,895422,895642,S101
150,3,59,1,913566,913786,S101
151,3,60,1,930069,930289,S101
152,3,61,1,941995,942215,S101
153,3,62,1,955430,955650,S101
154,3,63,1,970884,971104,S101
155,3,64,1,983105,983325,S101
156,3,65,1,990290,990510,S201
157,3,66,1,1011051,1011271,S201
158,3,67,1,1026914,1027134,S101
159,3,68,1,1041941,1042161,S101
160,3,69,0,,,S102
161,3,70,1,1074209,1074429,S101
162,3,71,0,,,S102
163,3,72,1,1105902,1106122,S201
164,3,73,1,1116287,1116507,S101
165,3,74,1,1128180,1128400,S101
166,3,75,1,1143190,1143410,S101
167,3,76,1,1159480,1159700,S101
168,3,77,0,,,S102
169,3,78,0,,,S102
170,3,79,1,1206118,1206338,S101
171,3,80,0,,,S102
172,3,81,1,1236450,1236670,S101
173,3,82,1,1248721,1248941,S101
174,3,83,1,1260696,1260916,S101
175,3,84,1,1278479,1278699,S101
176,3,85,1,1290553,1290773,S101
177,3,86,1,1308467,1308687,S101
178,3,87,1,1321738,1321958,S101
179,3,88,0,,,S102
180,3,89,1,1353432,1353652,S101
181,3,90,1,1366998,1367218,S101
182,3,91,1,1383419,1383639,S101
183,3,92,1,1398216,1398436,S101
184,3,93,0,,,S102
185,3,94,0,,,S102
186,3,95,0,,,S102
187,3,96,0,,,S102
188,3,97,1,1465836,1466056,S201
189,4,1,1,33978,34198,S201
190,4,2,0,,,S102
191,4,3,0,,,S202
192,4,4,0,,,S202
193,4,5,0,,,S202
194,4,6,0,,,S202
195,4,7,0,,,S202
196,4,8,1,121459,121679,S101
197,4,9,0,,,S202
198,4,10,1,140390,140610,S101
199,4,11,1,161763,161983,S101
200,4,12,0,,,S102
201,4,13,0,,,S102
202,4,14,0,,,S102
203,4,15,1,216079,216299,S201
204,4,16,1,230285,230505,S101
205,4,17,0,,,S202
206,4,18,1,258009,258229,S101
207,4,19,1,270723,270943,S201
208,4,20,1,287291,287511,S201
209,4,21,1,302646,302866,S101
210,4,22,1,320018,320238,S101
211,4,23,1,338392,338612,S101
212,4,24,1,357060,357280,S201
213,4,25,0,,,S202
214,4,26,0,,,S102
215,4,27,0,,,S202
216,4,28,1,415395,415615,S101
217,4,29,0,,,S202
218,4,30,1,447236,447456,S201
219,4,31,1,463674,463894,S101
220,4,32,1,480489,480709,S201
221,4,33,1,496860,497080,S101
222,4,34,1,513691,513911,S101
223,4,35,0,,,S202
224,4,36,1,551565,551785,S201
225,4,37,1,568233,568453,S201
226,4,38,1,580060,580280,S101
227,4,39,0,,,S102
228,4,40,1,614034,614254,S201
229,4,41,1,627667,627887,S101
230,4,42,0,,,S202
231,4,43,0,,,S102
232,4,44,1,675289,675509,S201
233,4,45,0,,,S202
234,4,46,1,701012,701232,S101
235,4,47,0,,,S202
236,4,48,1,724126,724346,S101
237,4,49,0,,,S202
238,4,50,1,753080,753300,S101
239,4,51,1,771141,771361,S101
240,4,52,1,787480,787700,S101
241,4,53,1,787530,787750,S201
242,4,54,1,804705,804925,S101
243,4,55,0,,,S202
244,4,56,1,831921,832141,S101
245,4,57,1,847128,847348,S101
246,4,58,1,862794,863014,S201
247,4,59,1,873293,873513,S101
248,4,60,0,,,S102
249,4,61,1,904282,904502,S101
250,4,62,0,,,S102
251,4,63,1,934466,934686,S101
252,4,64,0,,,S102
253,4,65,1,965274,965494,S101
254,4,66,1,981843,982063,S101
255,4,67,0,,,S102
256,4,68,1,1004022,1004242,S201
257,4,69,1,1030739,1030959,S201
258,4,70,0,,,S102
259,4,71,1,1057970,1058190,S201
260,4,72,1,1072620,1072840,S101
261,4,73,0,,,S202
262,4,74,1,1101689,1101909,S201
263,4,75,0,,,S202
264,4,76,0,,,S202
265,4,77,1,1140043,1140263,S101
266,4,78,1,1157990,1158210,S201
267,4,79,1,1172655,1172875,S101
268,4,80,0,,,S102
269,4,81,0,,,S102
270,4,82,1,1220639,1220859,S201
271,4,83,1,1231187,1231407,S201
272,4,84,0,,,S202
273,4,85,1,1260486,1260706,S201
274,4,86,1,1275447,1275667,S101
275,4,87,1,1289555,1289775,S101
276,4,88,0,,,S202
277,4,89,1,1322643,1322863,S201
278,4,90,1,1337407,1337627,S101
279,4,91,0,,,S102
280,4,92,1,1369544,1369764,S201
281,4,93,1,1380240,1380460,S101
282,4,94,1,1392658,1392878,S101
283,4,95,1,1409292,1409512,S201
284,4,96,0,,,S202
285,4,97,1,1434818,1435038,S201
286,4,98,1,1446892,1447112,S101
287,4,99,1,1464724,1464944,S101
288,4,100,0,,,S202
289,5,1,1,13496,13716,S201
290,5,2,0,,,S102
291,5,3,0,,,S102
292,5,4,1,52637,52857,S101
293,5,5,0,,,S102
294,5,6,1,86595,86815,S101
295,5,7,1,98750,98970,S101
296,5,8,1,113793,114013,S101
297,5,9,1,125850,126070,S101
298,5,10,0,,,S102
299,5,11,0,,,S102
300,5,12,1,172472,172692,S101
301,5,13,0,,,S102
302,5,14,0,,,S102
303,5,15,1,221373,221593,S101
304,5,16,1,238368,238588,S101
305,5,17,0,,,S102
306,5,18,0,,,S102
307,5,19,0,,,S102
308,5,20,1,293077,293297,S101
309,5,21,0,,,S202
310,5,22,1,322425,322645,S101
311,5,23,0,,,S102
312,5,24,1,349836,350056,S101
313,5,25,1,364879,365099,S101
314,5,26,0,,,S102
315,5,27,0,,,S102
316,5,28,0,,,S102
317,5,29,0,,,S202
318,5,30,1,445392,445612,S101
319,5,31,0,,,S102
320,5,32,1,465389,465609,S201
321,5,33,1,485857,486077,S201
322,5,34,1,496142,496362,S101
323,5,35,1,509594,509814,S101
324,5,36,1,527065,527285,S101
325,5,37,1,540615,540835,S101
326,5,38,0,,,S102
327,5,39,1,569404,569624,S201
328,5,40,0,,,S102
329,5,41,0,,,S102
330,5,42,1,614697,614917,S101
331,5,43,0,,,S102
332,5,44,0,,,S102
333,5,45,1,654822,655042,S101
334,5,46,0,,,S102
335,5,47,1,686729,686949,S101
336,5,48,0,,,S102
337,5,49,0,,,S102
338,5,50,0,,,S102
339,5,51,0,,,S102
340,5,52,1,755644,755864,S101
341,5,53,1,769112,769332,S101
342,5,54,1,786894,787114,S101
343,5,55,0,,,S102
344,5,56,1,818637,818857,S101
345,5,57,0,,,S102
346,5,58,0,,,S102
347,5,59,0,,,S102
348,5,60,1,880285,880505,S101
349,5,61,0,,,S102
350,5,62,1,914291,914511,S101
351,5,63,1,931532,931752,S201
352,5,64,1,936863,937083,S201
353,5,65,1,947066,947286,S201
354,5,66,0,,,S102
355,5,67,0,,,S102
356,5,68,1,995640,995860,S101
357,5,69,1,1007615,1007835,S101
358,5,70,0,,,S102
359,5,71,1,1041949,1042169,S101
360,5,72,1,1058419,1058639,S101
361,5,73,0,,,S102
362,5,74,0,,,S102
363,5,75,1,1110323,1110543,S101
364,5,76,1,1126826,1127046,S101
365,5,77,0,,,S102
366,5,78,0,,,S202
367,5,79,1,1172021,1172241,S201
368,5,80,0,,,S102
369,5,81,0,,,S102
370,5,82,0,,,S102
371,5,83,1,1230453,1230673,S101
372,5,84,1,1247005,1247225,S101
373,5,85,1,1263393,1263613,S101
374,5,86,1,1275598,1275818,S101
375,5,87,0,,,S102
376,5,88,1,1301583,1301803,S101
377,5,89,0,,,S102
378,5,90,0,,,S102
379,5,91,0,,,S102
380,5,92,1,1364576,1364796,S101
381,5,93,1,1377995,1378215,S101
382,5,94,0,,,S102
383,5,95,1,1411066,1411286,S101
384,5,96,1,1416906,1417126,S201
385,6,1,1,31423,31643,S201
386,6,2,0,,,S102
387,6,3,1,60017,60237,S201
388,6,4,1,65087,65307,S201
389,6,5,1,77668,77888,S201
390,6,6,1,84892,85112,S201
391,6,7,0,,,S202
392,6,8,0,,,S202
393,6,9,0,,,S202
394,6,10,0,,,S102
395,6,11,0,,,S102
396,6,12,0,,,S102
397,6,13,0,,,S102
398,6,14,0,,,S102
399,6,15,0,,,S102
400,6,16,1,224622,224842,S101
401,6,17,1,224786,225006,S201
402,6,18,0,,,S102
403,6,19,0,,,S202
404,6,20,1,269013,269233,S101
405,6,21,0,,,S102
406,6,22,1,299608,299828,S101
407,6,23,1,312158,312378,S101
408,6,24,1,328890,329110,S101
409,6,25,1,345640,345860,S201
410,6,26,0,,,S202
411,6,27,0,,,S102
412,6,28,1,389768,389988,S101
413,6,29,0,,,S102
414,6,30,1,420445,420665,S201
415,6,31,0,,,S202
416,6,32,1,452992,453212,S201
417,6,33,0,,,S102
418,6,34,1,479732,479952,S201
419,6,35,0,,,S202
420,6,36,1,629677,629897,S201
421,6,37,1,640209,640429,S101
422,6,38,0,,,S102
423,6,39,1,672198,672418,S101
424,6,40,0,,,S102
425,6,41,1,704614,704834,S201
426,6,42,0,,,S202
427,6,43,1,730796,731016,S101
428,6,44,0,,,S102
429,6,45,0,,,S102
430,6,46,1,778714,778934,S101
431,6,47,0,,,S202
432,6,48,1,795594,795814,S201
433,6,49,0,,,S202
434,6,50,1,820267,820487,S201
435,6,51,0,,,S102
436,6,52,0,,,S202
437,6,53,1,860524,860744,S101
438,6,54,0,,,S102
439,6,55,1,898255,898475,S101
440,6,56,1,911444,911664,S101
441,6,57,1,923945,924165,S101
442,6,58,0,,,S102
443,6,59,1,951980,952200,S101
444,6,60,0,,,S102
445,6,61,1,988514,988734,S101
446,6,62,0,,,S102
447,6,63,0,,,S102
448,6,64,0,,,S202
449,6,65,0,,,S202
450,6,66,0,,,S202
451,6,67,0,,,S102
452,6,68,1,1106023,1106243,S201
453,6,69,1,1119475,1119695,S101
454,6,70,0,,,S102
455,6,71,1,1154154,1154374,S201
456,6,72,0,,,S202
457,6,73,1,1177236,1177456,S201
458,6,74,0,,,S102
459,6,75,1,1205403,1205623,S101
460,6,76,0,,,S202
461,6,77,0,,,S102
462,6,78,1,1244774,1244994,S101
463,6,79,1,1260424,1260644,S201
464,6,80,1,1272990,1273210,S101
465,6,81,0,,,S102
466,6,82,1,1301223,1301443,S101
467,6,83,1,1316545,1316765,S101
468,6,84,1,1334721,1334941,S201
469,6,85,0,,,S102
470,6,86,0,,,S202
471,6,87,1,1382902,1383122,S101
472,6,88,1,1398142,1398362,S101
473,6,89,1,1413300,1413520,S201
474,6,90,0,,,S102
475,6,91,0,,,S202
476,6,92,0,,,S202
477,6,93,0,,,S202
478,6,94,0,,,S102
479,6,95,1,1480788,1481008,S101
480,6,96,0,,,S202
481,6,97,0,,,S102
482,6,98,0,,,S102
483,6,99,0,,,S202
484,7,1,1,104370,104590,S201
485,7,2,1,118757,118977,S101
486,7,3,0,,,S202
487,7,4,1,148253,148473,S101
488,7,5,1,163394,163614,S101
489,7,6,0,,,S102
490,7,7,0,,,S102
491,7,8,1,204980,205200,S101
492,7,9,0,,,S102
493,7,10,1,238413,238633,S101
494,7,11,1,256836,257056,S101
495,7,12,1,270238,270458,S101
496,7,13,1,283821,284041,S101
497,7,14,1,295584,295804,S101
498,7,15,0,,,S102
499,7,16,0,,,S102
500,7,17,1,346160,346380,S101
501,7,18,1,361219,361439,S101
502,7,19,0,,,S102
503,7,20,1,394275,394495,S101
504,7,21,0,,,S102
505,7,22,0,,,S102
506,7,23,0,,,S202
507,7,24,1,437895,438115,S201
508,7,25,1,449132,449352,S201
509,7,26,1,462256,462476,S101
510,7,27,0,,,S102
511,7,28,1,496345,496565,S101
512,7,29,1,509764,509984,S101
513,7,30,0,,,S102
514,7,31,0,,,S102
515,7,32,1,558338,558558,S101
516,7,33,1,579213,579433,S201
517,7,34,1,592484,592704,S101
518,7,35,1,607445,607665,S101
519,7,36,0,,,S102
520,7,37,0,,,S102
521,7,38,1,649212,649432,S101
522,7,39,1,662827,663047,S101
523,7,40,0,,,S102
524,7,41,1,694735,694955,S101
525,7,42,1,711386,711606,S101
526,7,43,1,723853,724073,S101
527,7,44,0,,,S102
528,7,45,1,751725,751945,S101
529,7,46,1,769671,769891,S101
530,7,47,0,,,S102
531,7,48,0,,,S102
532,7,49,1,811307,811527,S101
533,7,50,1,828318,828538,S101
534,7,51,1,841885,842105,S101
535,7,52,0,,,S102
536,7,53,0,,,S102
537,7,54,1,883520,883740,S201
538,7,55,1,897235,897455,S101
539,7,56,0,,,S102
540,7,57,0,,,S102
541,7,58,0,,,S102
542,7,59,1,959458,959678,S101
543,7,60,0,,,S202
544,7,61,1,989642,989862,S101
545,7,62,1,1001880,1002100,S101
546,7,63,1,1013839,1014059,S101
547,7,64,1,1029320,1029540,S201
548,7,65,0,,,S102
549,7,66,1,1055174,1055394,S101
550,7,67,0,,,S102
551,7,68,0,,,S102
552,7,69,1,1100615,1100835,S101
553,7,70,0,,,S102
554,7,71,1,1131325,1131545,S101
555,7,72,1,1146696,1146916,S101
556,7,73,1,1160361,1160581,S101
557,7,74,1,1174141,1174361,S201
558,7,75,0,,,S102
559,7,76,1,1205753,1205973,S101
560,7,77,1,1222125,1222345,S101
561,7,78,1,1238513,1238733,S101
562,7,79,0,,,S102
563,7,80,1,1262875,1263095,S101
564,7,81,1,1279132,1279352,S101
565,7,82,0,,,S102
566,7,83,1,1308004,1308224,S101
567,7,84,0,,,S102
568,7,85,1,1341371,1341591,S201
569,7,86,1,1356267,1356487,S101
570,7,87,1,1374640,1374860,S101
571,7,88,0,,,S102
572,7,89,1,1408221,1408441,S101
573,7,90,0,,,S102
574,7,91,1,1434714,1434934,S101
575,7,92,1,1448183,1448403,S101
576,7,93,1,1460322,1460542,S101
577,7,94,1,1476760,1476980,S101
578,7,95,1,1482304,1482524,S201
579,8,1,0,,,
580,8,2,1,27517,27737,S101
581,8,3,0,,,S102
582,8,4,0,,,S202
583,8,5,0,,,S202
584,8,6,0,,,S102
585,8,7,1,100009,100229,S101
586,8,8,1,118415,118635,S201
587,8,9,0,,,S102
588,8,10,1,143760,143980,S101
589,8,11,0,,,S102
590,8,12,1,177324,177544,S201
591,8,13,0,,,S102
592,8,14,1,204408,204628,S101
593,8,15,1,219337,219557,S101
594,8,16,0,,,S102
595,8,17,0,,,S202
596,8,18,0,,,S102
597,8,19,0,,,S102
598,8,20,1,299244,299464,S101
599,8,21,0,,,S102
600,8,22,0,,,S102
601,8,23,0,,,S102
602,8,24,0,,,S102
603,8,25,1,378544,378764,S201
604,8,26,0,,,S202
605,8,27,1,406054,406274,S101
606,8,28,1,421261,421481,S201
607,8,29,0,,,S102
608,8,30,0,,,S102
609,8,31,1,462289,462509,S201
610,8,32,1,476210,476430,S201
611,8,33,1,486742,486962,S101
