Subject ID,Trial Number,Response Type,Number of Letters,Position of Probed Letter,Probe Start Time,Probe End Time,Response Time
2,1,S202,8,5,234262,234462,15405
2,2,S201,5,,,,14177
2,3,S101,7,3,490029,490229,14126
2,4,S101,4,1,628583,628783,10691
2,5,S102,7,,,,16942
2,6,S101,4,4,981888,982088,10679
2,7,S101,8,3,1068922,1069122,10446
2,8,S101,6,3,1246325,1246525,8934
2,9,S102,6,,,,16613
2,10,S102,6,,,,12776
2,11,S101,5,5,1748689,1748889,10607
2,12,S102,7,,,,11417
2,13,S201,7,,,,9311
2,14,S201,5,,,,26105
2,15,S201,7,,,,10847
2,16,S101,6,5,2449130,2449330,9399
2,17,S102,5,,,,12325
2,18,S102,7,,,,24599
2,19,S102,4,,,,15953
2,20,S102,8,,,,13596
2,21,S102,8,,,,13895
2,22,S101,4,3,3370825,3371025,15277
2,23,S202,7,5,3524719,3524919,18628
2,24,S101,8,8,3740137,3740337,14482
2,25,S102,6,,,,12339
2,26,S102,7,,,,15640
2,27,S101,8,1,4121786,4121986,27715
2,28,S101,8,4,4359046,4359246,14322
2,29,S102,5,,,,34194
2,30,S101,7,6,4727524,4727724,14052
2,31,S102,4,,,,12627
2,32,S101,4,3,236096,236296,12620
2,33,S101,4,4,392991,393191,15498
2,34,S101,8,7,541549,541749,11712
2,35,S101,6,4,677769,677969,7585
2,36,S201,7,,,,11716
2,37,S102,8,,,,12971
2,38,S101,6,4,1149954,1150154,12003
2,39,S201,7,,,,10190
2,40,S102,7,,,,13178
2,41,S102,7,,,,16128
2,42,S102,5,,,,12225
2,43,S101,5,4,1916922,1917122,12959
2,44,S102,7,,,,12396
2,45,S101,4,3,2205368,2205568,13837
2,46,S101,5,2,2315411,2315611,18350
2,47,S101,7,5,2500817,2501017,10843
2,48,S201,5,,,,13873
2,49,S101,8,5,2784429,2784629,7672
2,50,S101,5,3,2930819,2931019,9216
2,51,S101,4,4,3098718,3098918,7099
2,52,S101,5,2,3167912,3168112,14121
2,53,S102,6,,,,30729
2,54,S102,4,,,,12229
2,55,S201,7,,,,16817
2,56,S102,4,,,,11125
2,57,S102,6,,,,10548
2,58,S102,6,,,,11586
2,59,S201,5,,,,17945
2,60,S101,5,5,4356879,4357079,20463
2,61,S102,6,,,,10008
2,62,S101,6,2,218089,218289,11231
2,63,S102,6,,,,9682
2,64,S102,8,,,,13013
2,65,S102,6,,,,9955
2,66,S101,5,3,859340,859540,16066
2,67,S102,7,,,,10735
2,68,S102,8,,,,11623
2,69,S101,6,1,1313685,1313885,14552
2,70,S101,5,2,1481084,1481284,12943
2,71,S101,6,6,1695168,1695368,10053
2,72,S101,8,1,1753191,1753391,10488
2,73,S101,6,6,2021463,2021663,9770
2,74,S102,5,,,,12524
2,75,S201,8,,,,16386
2,76,S201,8,,,,17938
2,77,S102,8,,,,10140
2,78,S101,8,5,2781261,2781461,14099
2,79,S102,6,,,,13245
2,80,S102,5,,,,13137
2,81,S101,6,4,3237606,3237806,10874
2,82,S101,8,4,3387498,3387698,10463
2,83,S102,4,,,,15507
2,84,S101,6,5,3705123,3705323,15074
2,85,S102,7,,,,18425
2,86,S101,8,5,4030417,4030617,12119
2,87,S202,5,2,4167137,4167337,13653
2,88,S101,5,4,4315029,4315229,10894
2,89,S102,6,,,,14316
2,90,S101,6,5,4617981,4618181,13288
3,1,S101,6,4,644242,644442,12914
3,2,S101,8,7,838485,838685,10357
3,3,S102,4,,,,9789
3,4,S202,4,3,1079413,1079613,10215
3,5,S201,5,,,,10627
3,6,S102,8,,,,18971
3,7,S101,5,5,1532425,1532625,9351
3,8,S101,7,6,1660642,1660842,11651
3,9,S102,6,,,,10899
3,10,S101,6,3,1932082,1932282,12091
3,11,S102,4,,,,9381
3,12,S102,8,,,,11613
3,13,S101,5,1,2352580,2352780,10613
3,14,S102,7,,,,11745
3,15,S101,5,3,2680542,2680742,10570
3,16,S101,6,5,2844107,2844307,9533
3,17,S101,6,6,3026345,3026545,15585
3,18,S102,4,,,,14662
3,19,S101,7,6,3285780,3285980,15632
3,20,S102,6,,,,9914
3,21,S101,7,5,3588566,3588766,12516
3,22,S102,8,,,,11091
3,23,S101,8,7,3960378,3960578,8926
3,24,S101,4,1,4051247,4051447,9704
3,25,S101,4,4,4233652,4233852,8210
3,26,S101,5,4,4332358,4332558,13746
3,27,S102,5,,,,10900
3,28,S102,6,,,,9210
3,29,S202,8,2,4725512,4725712,14963
3,30,S101,8,6,4945599,4945799,9209
3,31,S101,6,4,141211,141411,9347
3,32,S102,8,,,,10771
3,33,S102,5,,,,9482
3,34,S202,5,1,558375,558575,8725
3,35,S102,5,,,,7914
3,36,S201,7,,,,11393
3,37,S102,8,,,,7696
3,38,S101,6,3,1154442,1154642,8212
3,39,S101,4,2,1287160,1287360,11422
3,40,S102,7,,,,11400
3,41,S202,6,3,1587277,1587477,10651
3,42,S102,8,,,,9545
3,43,S102,7,,,,9915
3,44,S102,5,,,,8018
3,45,S102,5,,,,7635
3,46,S101,4,2,2307895,2308095,7665
3,47,S102,7,,,,7787
3,48,S101,4,1,2572332,2572532,8132
3,49,S202,8,3,2719057,2719257,7206
3,50,S201,8,,,,9600
3,51,S102,7,,,,7164
3,52,S102,6,,,,8339
3,53,S102,4,,,,6418
3,54,S101,7,7,3533376,3533576,7392
3,55,S101,8,7,3673765,3673965,10177
3,56,S101,7,4,3808484,3808684,8278
3,57,S101,4,4,3989389,3989589,6199
3,58,S101,5,1,4043577,4043777,6689
3,59,S101,6,1,4174795,4174995,12211
3,60,S101,4,2,4339860,4340060,9016
3,61,S101,8,1,70017,70217,7392
3,62,S101,6,4,286935,287135,8084
3,63,S102,7,,,,12998
3,64,S101,6,4,599558,599758,10583
3,65,S102,6,,,,8426
3,66,S201,7,,,,9643
3,67,S101,4,3,1025559,1025759,9678
3,68,S101,4,4,1179453,1179653,5946
3,69,S101,6,5,1289996,1290196,7978
3,70,S101,7,5,1436554,1436754,6331
3,71,S102,6,,,,10424
3,72,S102,5,,,,7388
3,73,S101,8,6,1890899,1891099,7447
3,74,S102,7,,,,12542
3,75,S101,5,5,2236534,2236734,6216
3,76,S101,4,1,2290722,2290922,9502
3,77,S101,4,2,2424775,2424975,6571
3,78,S101,8,2,2541654,2541854,6665
3,79,S101,4,2,2715389,2715589,7528
3,80,S101,8,3,2847441,2847641,7904
3,81,S101,5,5,3070529,3070729,5124
3,82,S102,7,,,,9830
3,83,S101,6,4,3328961,3329161,8020
3,84,S101,5,2,3447343,3447543,7956
3,85,S101,7,4,3608240,3608440,7424
3,86,S101,6,4,3768636,3768836,5704
3,87,S102,6,,,,7255
3,88,S102,4,,,,8099
3,89,S102,8,,,,7013
3,90,S102,7,,,,8276
4,1,S102,4,,,,15654
4,2,S202,4,4,533699,533899,8963
4,3,S202,7,6,642908,643108,8483
4,4,S202,8,4,757453,757653,9704
4,5,S202,8,2,887342,887542,9887
4,6,S101,4,1,1045737,1045937,15997
4,7,S101,8,2,1186292,1186492,17802
4,8,S101,8,6,1413355,1413555,16480
4,9,S102,5,,,,13850
4,10,S102,8,,,,18461
4,11,S103,,,,,
4,12,S101,6,5,2099958,2100158,13227
4,13,S202,5,1,2195162,2195362,12159
4,14,S101,6,1,2313375,2313575,13866
4,15,S201,4,,,,13809
4,16,S201,8,,,,13385
4,17,S101,7,2,2747545,2747745,15612
4,18,S101,7,2,2915945,2916145,16869
4,19,S101,8,1,3071506,3071706,12393
4,20,S201,8,,,,15303
4,21,S202,6,1,3414640,3414840,13367
4,22,S102,7,,,,13825
4,23,S202,8,1,3715092,3715292,16196
4,24,S101,4,2,3894162,3894362,12600
4,25,S202,6,1,4002871,4003071,12446
4,26,S201,8,,,,11267
4,27,S101,8,6,4366180,4366380,11898
4,28,S201,7,,,,11377
4,29,S101,8,3,4648458,4648658,11364
4,30,S101,7,3,4826861,4827061,11503
4,31,S201,8,,,,15215
4,32,S101,5,4,477510,477710,9508
4,33,S102,8,,,,12688
4,34,S201,6,,,,13331
4,35,S101,6,1,882336,882536,12906
4,36,S202,8,7,1118928,1119128,14195
4,37,S102,5,,,,11246
4,38,S201,7,,,,13632
4,39,S202,7,3,1508748,1508948,16015
4,40,S101,4,4,1693154,1693354,9067
4,41,S202,4,3,1778521,1778721,12718
4,42,S101,4,1,1854884,1855084,10708
4,43,S202,8,4,2018448,2018648,12081
4,44,S101,4,3,2164839,2165039,11859
4,45,S101,8,8,2377756,2377956,9340
4,46,S103,,,,,
4,47,S101,8,1,2586171,2586371,9659
4,48,S202,4,3,2791251,2791451,11206
4,49,S101,7,5,2922636,2922836,9834
4,50,S101,6,5,3085367,3085567,9786
4,51,S201,6,,,,14391
4,52,S101,4,3,3339967,3340167,10546
4,53,S102,5,,,,13917
4,54,S101,7,2,3585063,3585263,11555
4,55,S102,6,,,,13364
4,56,S101,5,1,3887348,3887548,18053
4,57,S102,5,,,,11831
4,58,S101,7,2,4180630,4180830,11631
4,59,S101,7,6,4401716,4401916,9039
4,60,S102,6,,,,12549
4,61,S102,5,,,,12336
4,62,S201,6,,,,9946
4,63,S101,7,7,492183,492383,8786
4,64,S202,8,2,563044,563244,10238
4,65,S201,4,,,,14894
4,66,S202,7,4,856826,857026,9533
4,67,S202,6,3,986710,986910,9894
4,68,S101,4,3,1116761,1116961,8637
4,69,S201,8,,,,8333
4,70,S101,7,1,1364191,1364391,8833
4,71,S102,7,,,,12266
4,72,S102,8,,,,10857
4,73,S201,5,,,,911
4,74,S201,4,,,,11221
4,75,S202,8,6,2150000,2150200,7845
4,76,S201,6,,,,9401
4,77,S101,7,4,2407767,2407967,11618
4,78,S101,5,5,2606178,2606378,13341
4,79,S202,8,4,2710053,2710253,13645
4,80,S201,7,,,,8010
4,81,S101,7,4,3014672,3014872,9806
4,82,S102,6,,,,11206
4,83,S201,7,,,,11191
4,84,S101,4,4,3492526,3492726,12605
4,85,S101,4,1,3553050,3553250,10998
4,86,S201,7,,,,9548
4,87,S202,6,6,3909023,3909223,13602
4,88,S201,5,,,,9396
4,89,S101,5,2,4081924,4082124,11762
4,90,S101,8,5,4260661,4260861,7168
5,1,S102,5,,,,11220
5,2,S102,6,,,,8714
5,3,S101,4,4,480511,480711,8378
5,4,S102,7,,,,14560
5,5,S101,7,6,775127,775327,11367
5,6,S101,4,4,930855,931055,8363
5,7,S101,6,1,987211,987411,8212
5,8,S101,4,3,1162446,1162646,7415
5,9,S102,5,,,,11380
5,10,S102,7,,,,10236
5,11,S101,6,2,1564937,1565137,17702
5,12,S102,7,,,,13585
5,13,S102,6,,,,8425
5,14,S101,7,2,2034789,2034989,11243
5,15,S101,7,4,2227198,2227398,13149
5,16,S102,4,,,,11041
5,17,S102,6,,,,12065
5,18,S102,5,,,,16331
5,19,S101,4,4,2825933,2826133,11048
5,20,S202,7,4,2927473,2927673,19687
5,21,S101,5,2,3053189,3053389,8036
5,22,S102,5,,,,8291
5,23,S101,5,4,3346804,3347004,10465
5,24,S101,6,5,3496029,3496229,8143
5,25,S102,5,,,,11284
5,26,S102,6,,,,9893
5,27,S102,7,,,,7687
5,28,S202,8,1,4031073,4031273,16863
5,29,S101,8,3,4224982,4225182,8776
5,30,S102,5,,,,20862
5,31,S101,4,2,55678,55878,9600
5,32,S101,5,5,237916,238116,6914
5,33,S101,7,2,306943,307143,17801
5,34,S101,5,5,539868,540068,7906
5,35,S102,7,,,,7372
5,36,S201,4,,,,10286
5,37,S102,7,,,,9424
5,38,S102,8,,,,8917
5,39,S101,4,2,1210965,1211165,12098
5,40,S102,4,,,,8901
5,41,S102,5,,,,14086
5,42,S101,5,3,1605787,1605987,9133
5,43,S102,6,,,,11519
5,44,S101,7,1,1861220,1861420,8604
5,45,S102,6,,,,7644
5,46,S102,7,,,,13366
5,47,S102,4,,,,7713
5,48,S102,4,,,,13177
5,49,S101,4,3,2605680,2605880,7851
5,50,S101,5,4,2738398,2738598,6825
5,51,S101,8,3,2855611,2855811,6584
5,52,S102,7,,,,11870
5,53,S101,6,1,3165733,3165933,6453
5,54,S102,7,,,,9990
5,55,S102,5,,,,8072
5,56,S102,7,,,,5936
5,57,S101,6,2,3779474,3779674,8927
5,58,S102,7,,,,18760
5,59,S101,7,3,4113272,4113472,7229
5,60,S201,7,,,,15538
5,61,S102,8,,,,6215
5,62,S102,6,,,,7107
5,63,S101,8,7,461671,461871,7822
5,64,S101,4,4,614064,614264,6390
5,65,S102,8,,,,7116
5,66,S101,7,1,842987,843187,7896
5,67,S101,7,2,1018056,1018256,7844
5,68,S102,8,,,,8686
5,69,S102,7,,,,12125
5,70,S101,7,5,1562103,1562303,13196
5,71,S101,7,6,1742507,1742707,8129
5,72,S102,4,,,,8300
5,73,S202,8,2,1965261,1965461,9448
5,74,S201,7,,,,11984
5,75,S102,5,,,,7849
5,76,S102,8,,,,15892
5,77,S102,5,,,,11829
5,78,S101,5,2,2721558,2721758,12736
5,79,S101,7,6,2915634,2915834,8651
5,80,S101,7,2,3020509,3020709,7130
5,81,S101,4,2,3180572,3180772,8774
5,82,S102,4,,,,9880
5,83,S101,5,2,3419832,3420032,9103
5,84,S102,4,,,,17885
5,85,S102,8,,,,12561
5,86,S102,5,,,,9277
5,87,S101,8,7,4066086,4066286,6374
5,88,S101,5,5,4231151,4231351,6369
5,89,S102,8,,,,10952
5,90,S101,6,1,4463409,4463609,6378
6,1,S102,8,,,,7567
6,2,S103,,,,,
6,3,S103,,,,,
6,4,S103,,,,,
6,5,S202,8,2,1050902,1051102,20213
6,6,S102,8,,,,14069
6,7,S102,6,,,,15463
6,8,S102,8,,,,12648
6,9,S102,5,,,,14332
6,10,S102,4,,,,14257
6,11,S102,5,,,,9147
6,12,S101,5,2,2131492,2131692,17055
6,13,S102,8,,,,13376
6,14,S202,5,3,2467624,2467824,11022
6,15,S101,5,4,2598842,2599042,11570
6,16,S102,5,,,,10408
6,17,S101,7,4,2869782,2869982,11067
6,18,S101,4,3,3019507,3019707,12245
6,19,S101,7,6,3184572,3184772,10590
6,20,S201,7,,,,10762
6,21,S202,5,2,3436337,3436537,11641
6,22,S102,6,,,,12727
6,23,S101,8,8,3810317,3810517,13382
6,24,S102,4,,,,11103
6,25,S201,8,,,,11182
6,26,S202,7,1,4152785,4152985,22466
6,27,S201,8,,,,12572
6,28,S102,4,,,,10571
6,29,S201,6,,,,20109
6,30,S202,5,2,4746018,4746218,10362
6,31,S101,4,1,245752,245952,12082
6,32,S102,4,,,,18186
6,33,S101,8,3,525029,525229,16696
6,34,S102,4,,,,29346
6,35,S201,8,,,,9802
6,36,S202,5,4,1021057,1021257,14559
6,37,S101,6,6,1189956,1190156,14893
6,38,S102,4,,,,17841
